num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
11,0.0924848,0.0794951,0.248875,inf,0.00327583,0,0.327642,0.0229323,16.3873,2.40572,3.20903,1.66148,2.43268,0.221152,0,0,1
12,0.119744,0.101874,0.357474,0.117953,0.00689634,0,0.44622,0.0380815,12.282,2.47333,3.4211,1.62626,2.4266,0.202217,0,0,1
10,0.0926422,0.0802483,0.240407,0.0783179,0.00305023,0,0.287439,0.0218748,14.4419,2.43379,2.89325,1.62442,2.4286,0.24286,1,0,1
10,0.0946479,0.0804179,0.253168,0.0804958,0.0027769,0,0.298137,0.0184999,15.9811,2.35125,3.07236,1.68221,2.43759,0.243759,1,0,1
10,0.0943142,0.0805753,0.246667,0.0802507,0.00376974,0,0.2968,0.0237061,13.0282,2.40293,3.00405,1.65958,2.43459,0.243459,1,0,1
10,0.0939637,0.0822313,0.240407,0.0799221,0.00348336,0,0.303593,0.0269578,13.9418,2.40274,2.95998,1.662,2.42144,0.242144,1,0,1
10,0.0909381,0.0771567,0.252559,0.0761063,0.00302932,0,0.294604,0.0246793,12.2018,2.41394,2.90265,1.55996,2.43459,0.243459,1,0,1
10,0.0951141,0.0816797,0.258704,0.0811764,0.00364307,0,0.298178,0.0270227,11.5788,2.47156,2.77145,1.50193,2.43059,0.243059,1,0,1
11,0.0959741,0.0829695,0.259093,0.100926,0.00316502,0,0.325392,0.0227714,18.2403,2.42391,3.19155,1.63891,2.42275,0.22025,0,0,1
11,0.0956619,0.0831244,0.253464,0.100346,0.00325144,0,0.313839,0.0198775,15.7027,2.44205,3.15854,1.64534,2.42275,0.22025,0,0,1
11,0.0949427,0.0822672,0.258359,0.0993741,0.00330057,0,0.313199,0.0201853,14.7744,2.45239,3.11513,1.59467,2.42275,0.22025,0,0,1
11,0.0933073,0.0812161,0.257626,0.0971099,0.00305421,0,0.307043,0.0178543,14.2665,2.45208,3.10883,1.58187,2.41282,0.219347,0,0,1
12,0.102747,0.085846,0.324502,0.0952238,0.00171458,0,0.402117,0.0251704,13.2347,2.47606,3.40196,1.5987,2.42498,0.202081,0,0,1
12,0.0917473,0.078072,0.270672,0.0744671,0.00296063,0,0.341906,0.0163525,26.0444,2.46531,3.19698,1.52353,2.42164,0.201803,1,0,1
14,0.0960888,0.0831508,0.297326,inf,0.0165699,0,0.444518,0.019072,10.3034,2.58125,3.27371,1.42484,2.43088,0.173634,0,0,1
14,0.138837,0.13053,0.355005,inf,0.0130564,0,0.557241,0.0354969,13.6336,2.58633,2.97134,1.46976,2.35974,0.168553,1,1,1
6,0.0465766,0.0367223,0.1143,inf,0.000195564,0,0.156625,0.0207416,21.1334,1.756,2.96092,2.3024,2.19305,0.365508,1,0,1
7,0.0500435,0.0403908,0.135956,0.0111364,7.3568e-05,0,0.148379,0.0098739,10.044,2.14221,2.6659,1.82617,2.39,0.341429,1,0,1
6,0.0463233,0.0375456,0.0975896,inf,5.59573e-05,0,0.171571,0.0219323,13.3282,1.70281,3.26977,2.53365,2.17931,0.363219,1,1,1
6,0.0408076,0.0332197,0.108293,inf,0.00153419,0,0.122533,0.0106502,20.6346,2.22797,1.97434,1.56337,2.37998,0.396663,1,0,1
5,0.0369817,0.0283901,0.0859627,0.00351743,0.000706342,0,0.117313,0.0147931,23.9205,1.52581,2.44805,2.27745,2.17,0.434,1,1,1
6,0.0482319,0.0375174,0.131071,inf,7.90331e-05,0,0.143265,0.0173414,9.9875,1.98016,2.46673,1.92,2.35498,0.392496,1,0,1
4,0.031533,0.0239952,0.0694766,0.00178345,1.51186e-05,0,0.0817803,0.0181715,8.2862,1.293,2.04958,2.37016,2.14998,0.537495,1,1,1
7,0.0448542,0.0357067,0.123096,0.00985136,0.000526099,0,0.143788,0.0106269,18.5371,2.04459,2.68289,1.84822,2.31,0.33,1,1,1
6,0.0441624,0.0369413,0.108416,inf,0.000163586,0,0.135441,0.0130688,10.3298,1.85299,2.81906,2.19314,2.1834,0.3639,1,1,1
8,0.0565484,0.0466274,0.14709,inf,0.000166728,0,0.205358,0.015388,15.391,2.0889,3.37274,2.08544,2.21698,0.277122,1,1,1
11,0.0947169,0.0826702,0.242477,0.0686814,0.00309398,0,0.290332,0.0232315,19.4969,2.53328,2.88019,1.54282,2.03,0.184545,1,1,1
6,0.0324192,0.0262445,0.0861225,inf,0.00018173,0,0.0949668,0.00782828,18.6216,2.10059,1.92655,1.52712,1.92637,0.321061,1,1,1
7,0.0483357,0.0383679,0.130325,0.0128857,1.20765e-05,0,0.155917,0.0158219,9.42006,2.00926,2.9769,2.03409,2.1788,0.311256,0,1,1
6,0.0322781,0.0258975,0.0850135,inf,0.000142517,0,0.0928842,0.00770235,18.3427,2.27806,1.77369,1.39087,1.93998,0.32333,1,1,1
7,0.0445663,0.036418,0.118766,0.0105741,1.8922e-05,0,0.140103,0.0104283,9.38386,2.03774,2.93183,2.00385,2.16921,0.309888,0,1,1
7,0.038568,0.0321418,0.104543,0.00675955,0.00111824,0,0.140677,0.0108574,31.2907,2.0997,2.64926,1.85103,1.9506,0.278657,1,1,1
8,0.0510306,0.0419533,0.135244,inf,0.000145697,0,0.183372,0.0111751,21.1544,2.11107,3.26987,2.022,2.15472,0.26934,1,1,1
6,0.0323622,0.026663,0.0842054,inf,0.000791625,0,0.104421,0.00892281,27.4692,1.92123,2.22761,1.78106,1.92954,0.32159,1,1,1
12,0.0699742,0.0600552,0.207996,inf,0.0015999,0,0.254015,0.00817483,27.5143,2.62462,2.80906,1.36314,2.13367,0.177806,0,1,1
11,0.0880971,0.0758517,0.230993,2.70741,0.00274688,0,0.303147,0.0182874,27.21,2.48324,3.06484,1.60565,1.95022,0.177292,1,1,1
8,0.0631481,0.047742,0.164059,inf,0.000283034,0,0.250313,0.0338964,23.7539,2.05853,3.54076,2.19077,2.06237,0.257796,0,0,1
6,0.0355206,0.0283089,0.0940081,0.00520295,2.7337e-05,0,0.104664,0.0109675,8.02409,1.92459,2.57458,1.99891,1.92998,0.321664,1,1,1
8,0.0479845,0.0386697,0.132018,inf,0.00033654,0,0.17324,0.0122379,22.3223,2.11345,3.15161,1.95362,2.02749,0.253436,0,1,1
5,0.027016,0.0221685,0.0673664,0.00163595,0.000107996,0,0.0729348,0.0082722,21.8654,1.89019,1.75934,1.62316,1.93022,0.386045,1,1,1
7,0.0399192,0.0322286,0.107008,0.00763081,0.00102251,0,0.119531,0.00759956,14.5762,2.24963,2.31126,1.64929,2.03,0.29,1,1,1
7,0.0396106,0.0325186,0.108667,0.0075263,0.000229835,0,0.131651,0.00999738,17.9548,2.1761,2.67202,1.86908,1.91077,0.272967,1,1,1
6,0.0340263,0.0273828,0.0893477,inf,0.000763081,0,0.105498,0.00911783,25.8078,2.0447,2.23544,1.79552,2.02998,0.33833,1,1,1
